URL,Compétition,Année,Team à trouver,Team opposée,Score,Stade,Guess,Date du match,Date de publication
https://missing11.com/?game=1,Champions League,2018,Real Madrid,Liverpool,3-1,NSC Olimpiysky,12,26/5/2018,02/02/2022
https://missing11.com/?game=2,Euro 2016,2016,England,Iceland,1-2,Allianz Riviera,23,27/6/2016,03/02/2022
https://missing11.com/?game=3,Premier League,2016,Man Utd,Middlesbrough,2-1,Old Trafford,21,31/12/2016,04/02/2022
https://missing11.com/?game=4,Champions League,2003,AC Milan,Inter Milan,1-1,San Siro,20,13/5/2003,05/02/2022
https://missing11.com/?game=5,Supercopa de España,2020,Atletico Madrid,Barcelona,3-2,King Abdullah Sport City Stadium,20,9/1/2020,06/02/2022
https://missing11.com/?game=6,Premier League,2015,Tottenham,Arsenal,2-1,White Hart Lane,,7/2/2015,07/02/2022
https://missing11.com/?game=7,Serie A,2004,Inter Milan,Roma,3-3,Olimpico di Roma,,3/10/2004,08/02/2022
https://missing11.com/?game=8,Premier League,2001,Leeds United,Aston Villa,2-1,Villa Park,,24/1/2001,09/02/2022
https://missing11.com/?game=9,Premier League,2016,Leicester City,Liverpool,2-0,King Power Stadium,,2/2/2016,10/02/2022
https://missing11.com/?game=10,Ligue 1,2015,PSG,Rennes,1-0,Le Parc des Princes,,30/1/2015,11/02/2022
https://missing11.com/?game=11,Serie A,2015,Napoli,Inter,2-1,Stadio Diego Armando Maradona,,30/11/2015,12/02/2022
https://missing11.com/?game=12,Serie A,2009,Juventus,Atalanta,5-2,Stadio Atleti Azzurri d'Italia,,7/11/2009,13/02/2022
https://missing11.com/?game=13,Premier League,2011,Blackburn,West Bromwich Albion,2-0,Ewood Park,,23/1/2011,14/02/2022
https://missing11.com/?game=14,Champions League,2019,PSG,Real Madrid,3-0,Le Parc des Princes," 12",18/9/2019,15/02/2022
https://missing11.com/?game=15,Champions League,2008,Liverpool,Inter,1-0,San Siro,,11/3/2008,16/02/2022
https://missing11.com/?game=16,UEFA Cup Semi Final,2003,Porto,Lazio,4-1,Estádio do Dragão,,10/4/2003,17/02/2022
https://missing11.com/?game=17,Coppa Italia,2015,Juventus,Torino,4-0,Allianz Stadium,,16/12/2015,18/02/2022
https://missing11.com/?game=18,Premier League,2009,Man City,Tottenham,3-0,White Hart Lane,,16/12/2009,19/02/2022
https://missing11.com/?game=19,Premier League,2002,Man Utd,Leeds,4-3,Elland Road,,30/3/2002,20/02/2022
https://missing11.com/?game=20,UEFA Cup,2008,Bayern Munich,Aberdeen,5-1,Fußball Arena München,,21/2/2008,21/02/2022
https://missing11.com/?game=21,Premier League,2005,Middlesbrough,West Brom,4-0,Riverside Stadium,,23/4/2005,22/02/2022
https://missing11.com/?game=22,Premier League,2001,Liverpool,Leeds,1-1,Anfield,,13/10/2001,23/02/2022
https://missing11.com/?game=23,Premier League,2011,Arsenal,Wolves,1-1,Emirates Stadium,,27/12/2011,24/02/2022
https://missing11.com/?game=24,Serie A,2019,Inter,Genoa,4-0,Stadio Comunale Luigi Ferraris,,3/4/2019,25/02/2022
https://missing11.com/?game=25,Premier League,2017,Everton,Man City,4-0,Goodison Park,,15/1/2017,26/02/2022
https://missing11.com/?game=26,2005 Football League Cup Final,2005,Chelsea,Liverpol AET,3-2,Millennium Stadium,,27/2/2005,27/02/2022
https://missing11.com/?game=27,Bundesliga,2015,Dortmund,Schalke,3-0,Signal Iduna Park,,28/2/2015,28/02/2022
https://missing11.com/?game=28,Premier League,2005,Tottenham,Middlesbrough,3-3,Riverside Stadium,,18/12/2005,01/03/2022
https://missing11.com/?game=29,Premier League,2016,Southampton,West Ham,1-0,St Mary's,,6/2/2016,02/03/2022
https://missing11.com/?game=30,Serie A,2018,Roma,Napoli,4-2,Stadio Diego Armando Maradona,,3/3/2018,03/03/2022
https://missing11.com/?game=31,Ligue 1,2016,Lyon,Lorient,3-1,Stade du Moustoir," 14",3/4/2016,04/03/2022
https://missing11.com/?game=32,Premier League,2016,Aston Villa,Southampton,4-2,Villa Park,,23/4/2016,05/03/2022
https://missing11.com/?game=33,Premier League,2012,Man Utd,Man City,3-2,Etihad Stadium,,9/12/2012,06/03/2022
https://missing11.com/?game=34,La Liga,2013,Atletico Madrid,Real Betis,5-0,Vicente Calderón,,27/10/2013,07/03/2022
https://missing11.com/?game=35,Champions League,2020,Bayern Munich,Red Bull Salzburg,3-1,Allianz Arena,,25/11/2020,08/03/2022
https://missing11.com/?game=36,Europa League,2012,Man City,Sporting CP,1-0,Estádio José Alvalade,,8/3/2012,09/03/2022
https://missing11.com/?game=37,Champions League,2002,Barcelona,Galatasaray,2-0,Ali Sami Yen,,24/9/2002,10/03/2022
https://missing11.com/?game=38,Friendly,2017,Brazil,England,0-0,Wembley Stadium,,14/11/2017,11/03/2022
https://missing11.com/?game=39,Serie A,2019,Juventus,Sampdoria,2-0,Stadio Luigi Ferraris,,26/5/2019,12/03/2022
https://missing11.com/?game=40,Ligue 1,2019,Marseille,Brest,2-1,Stade Vélodrome,,30/11/2019,13/03/2022
https://missing11.com/?game=41,La Liga,2012,Real Madrid,Mallorca,5-0,Son Moix,,28/10/2012,14/03/2022
https://missing11.com/?game=42,Champions League,2017,Atletico Madrid,Leverkusen,0-0,Vicente Calderón,,15/3/2017,15/03/2022
https://missing11.com/?game=43,Premier League,2004,Arsenal,Liverpool,4-2,Highbury,,9/4/2004,16/03/2022
https://missing11.com/?game=44,Premier League,2012,Newcastle,Everton,3-1,Goodison Park,,13/5/2012,17/03/2022
https://missing11.com/?game=45,Champions League,2015,Barcelona,Man City,1-0,Camp Nou,,18/3/2015,18/03/2022
https://missing11.com/?game=46,Bundesliga,2019,Bayern Munich,Union Berlin,2-1,Allianz Arena,,26/10/2019,19/03/2022
https://missing11.com/?game=47,La Liga,2009,Real Madrid,Barcelona,6-2,Santiago Bernabéu,,2/5/2009,20/03/2022
https://missing11.com/?game=48,Friendly,2012,Portugal,Turkey,3-1,Estádio da Luz,,2/6/2012,21/03/2022
https://missing11.com/?game=49,World Cup Qualification,2005,Brazil,Chile,5-0,Estádio Nacional de Brasília Mané Garrincha,,4/9/2005,22/03/2022
https://missing11.com/?game=50,World Cup Qualification,2016,Italy,Macedonia,3-2,National Arena Todor Proeski,,9/10/2016,23/03/2022
https://missing11.com/?game=51,Copa America Quarter-Finals,2019,Uruguay,Peru,loss,Arena Fonte Nova,,29/6/2019,24/03/2022
https://missing11.com/?game=52,Copa América,2016,Argentina,Venezuela,4-1,Gillette Stadium,,19/6/2016,25/03/2022
https://missing11.com/?game=53,European Qualifier,2015,England,Switzerland,2-0,Wembley Stadium,,8/9/2015,26/03/2022
https://missing11.com/?game=54,International Friendly,2016,France,Ivory Coast,0-0,Stade Bollaert-Delelis,,15/11/2016,27/03/2022
https://missing11.com/?game=55,European Qualifier,2019,Germany,Netherlands,4-2,Volksparkstadion,,6/9/2019,28/03/2022
https://missing11.com/?game=56,Euro 2016 Final,2016,Portugal,France,1-0,Stade de France,,10/7/2016,29/03/2022
https://missing11.com/?game=57,World Cup Qualifier,2017,Argentina,Ecuador,3-1,Estadio Olímpico Atahualpa,,11/10/2017,30/03/2022
https://missing11.com/?game=58,Premier League,2012,Chelsea,Aston Villa,4-2,Villa Park,,31/3/2012,31/03/2022
https://missing11.com/?game=59,La Liga,2015,Real Madrid,Celta Vigo,3-1,Balaídos,,24/10/2015,01/04/2022
https://missing11.com/?game=60,Bundesliga,2019,Dortmund,Leipzig,3-3,Signal Iduna Park,,17/12/2019,02/04/2022
https://missing11.com/?game=61,Serie A,2009,Inter,Juventus,2-1,Stadio Olimpico di Torino,,5/12/2009,03/04/2022
https://missing11.com/?game=62,Premier League,2015,Arsenal,Crystal Palace,2-1,Selhurst Park,,21/2/2015,04/04/2022
https://missing11.com/?game=63,Champions League,2006,Liverpool,Benfica,1-0,Estádio da Luz,,21/2/2006,05/04/2022
https://missing11.com/?game=64,Champions League,2011,Bayern Munich,Villarreal,2-0,La Cerámica,,14/9/2011,06/04/2022
https://missing11.com/?game=65,Europa League Quarter-finals,2019,Chelsea,Slavia Prague,4-3,Stamford Bridge,,18/4/2019,07/04/2022
https://missing11.com/?game=66,Premier League,2018,Wolves,Newcastle,2-1,St James' Park,,9/12/2018,08/04/2022
https://missing11.com/?game=67,Ligue 1,2021,PSG,Clermont Foot,4-0,Parc des Princes,16,11/9/2021,09/04/2022
https://missing11.com/?game=68,Premier League,2015,Man City,Liverpool,4-1,Etihad Stadium,,21/11/2015,10/04/2022
https://missing11.com/?game=69,Champions League,2017,Juventus,Barcelona,3-0,Allianz Stadium,,11/4/2017,11/04/2022
https://missing11.com/?game=70,Champions League,2021,Real Madrid,Chelsea,1-1,Estadio Alfredo Di Stéfano,,27/4/2021,12/04/2022
https://missing11.com/?game=71,Europa League,2010,Liverpool,Benfica,4-1,Anfield,,8/4/2010,13/04/2022
https://missing11.com/?game=72,Serie A,2019,Napoli,Chievo,3-1,Marcantonio Bentegodi,,14/4/2019,14/04/2022
https://missing11.com/?game=73,Serie A,2018,AC Milan,Genoa,2-1,Giuseppe Meazza,,31/10/2018,15/04/2022
https://missing11.com/?game=74,Premier League,2018,Liverpool,Man City,0-0,Anfield,,7/10/2018,16/04/2022
https://missing11.com/?game=75,Eredivisie,2017,Ajax,PSV,3-0,Johan Cruijff ArenA,,10/12/2017,17/04/2022
https://missing11.com/?game=76,Serie A,2018,Roma,Napoli,4-2,Stadio Diego Armando Maradona,,3/3/2018,18/04/2022
https://missing11.com/?game=77,Premier League,2007,Man Utd,Liverpool,1-0,Anfield,,16/12/2007,19/04/2022
https://missing11.com/?game=78,LaLiga,2005,Real Madrid,Osasuna,2-1,El Sadar,,12/2/2005,20/04/2022
https://missing11.com/?game=79,LaLiga,2018,Barcelona,Real Sociedad,4-2,Anoeta,,14/1/2018,21/04/2022
https://missing11.com/?game=80,Premier League,2014,Arsenal,Man Utd,0-0,Emirates Stadium,,12/2/2014,22/04/2022
https://missing11.com/?game=81,Bundesliga,2017,Bayern Munich,Dortmund,4-1,Allianz Arena,,8/4/2017,23/04/2022
https://missing11.com/?game=82,Premier League,2021,Everton,Liverpool,2-0,Anfield,,20/2/2021,24/04/2022
https://missing11.com/?game=83,Serie A,2014,Juventus,Sassuolo,3-1,Mapei Stadium - Città del Tricolore,,28/4/2014,25/04/2022
https://missing11.com/?game=84,Champions League,2016,Man City,Real Madrid,0-0,Etihad Stadium,,26/4/2016,26/04/2022
https://missing11.com/?game=85,Europa League,2016,Liverpool,Villarreal,3-0,Anfield,,5/5/2016,27/04/2022
https://missing11.com/?game=86,Premier League,2014,Chelsea,Man Utd,1-1,Old Trafford,,26/10/2014,28/04/2022
https://missing11.com/?game=87,Ligue 1,2018,PSG,Strasbourg,1-1,Stade de la Meinau,,5/12/2018,29/04/2022
https://missing11.com/?game=88,Premier League,2015,Newcastle,Liverpool,2-0,St James' Park,,6/12/2015,30/04/2022
https://missing11.com/?game=89,Serie A,2010,AC Milan,Fiorentina,1-0,Giuseppe Meazza,,20/11/2010,01/05/2022
https://missing11.com/?game=90,LaLiga,2001,Real Madrid,Espanyol,5-1,Santiago Bernabéu,,22/9/2001,02/05/2022
https://missing11.com/?game=91,Champions League Semi Final,2019,Tottenham,Ajax,3-2,Johan Cruijff ArenA,,8/5/2019,03/05/2022
https://missing11.com/?game=92,Champions League Semi Final,2010,Inter,Barcelona,1-0,Camp Nou,,28/4/2010,04/05/2022
https://missing11.com/?game=93,Europa League Semi Final,2018,Atlético Madrid,Arsenal,1-0,Wanda Metropolitano,,3/5/2018,05/05/2022
https://missing11.com/?game=94,Ligue 1,2017,Monaco,Lille,4-0,Stade Louis-II,,14/5/2017,06/05/2022
https://missing11.com/?game=95,Premier League,2014,Liverpool,Tottenham,4-0,Anfield,,30/3/2014,07/05/2022
https://missing11.com/?game=96,Champions League Final,2014,Atletico Madrid,Real Madrid,4-1,Estádio da Luz,,24/5/2014,08/05/2022
https://missing11.com/?game=97,Serie A,2015,Roma,Fiorentina,2-1,Artemio Franchi,,25/10/2015,09/05/2022
https://missing11.com/?game=98,LaLiga,2007,Barcelona,Celta Vigo,3-1,Camp Nou,,28/1/2007,10/05/2022
https://missing11.com/?game=99,Serie A,2017,Inter,Juventus,0-0,Allianz Stadium,,9/12/2017,11/05/2022
https://missing11.com/?game=100,Premier League,2017,Arsenal,Tottenham,2-0,Emirates Stadium,,18/11/2017,12/05/2022
https://missing11.com/?game=101,Bundesliga,2011,Bayern Munich,Wolfsburg,1-1,Volkswagen Arena,,15/1/2011,13/05/2022
https://missing11.com/?game=102,FA Cup Final,2012,Chelsea,Liverpool,2-1,Wembley Stadium,,5/5/2012,14/05/2022
https://missing11.com/?game=103,Premier League,2014,Man City,West Ham,2-1,Boleyn Ground,,25/10/2014,15/05/2022
https://missing11.com/?game=104,Serie A,2020,Juventus,Lazio,2-1,Allianz Stadium,,20/7/2020,16/05/2022
https://missing11.com/?game=105,League Cup Quarter Finals,2015,Southampton,Liverpool,6-1,St Mary's Stadium,,2/12/2015,17/05/2022
https://missing11.com/?game=106,Europa League Final,2017,Man Utd,Ajax,2-0,Friends Arena,,24/5/2017,18/05/2022
https://missing11.com/?game=107,FA Cup Final,2021,Leicester,Chelsea,1-0,Wembley Stadium,,15/5/2021,19/05/2022
https://missing11.com/?game=108,LaLiga,2015,Real Madrid,Real Betis,5-0,Santiago Bernabéu,,29/8/2015,20/05/2022
https://missing11.com/?game=109,Ligue 1,2016,PSG,Metz,3-0,Le Parc des Princes,,21/8/2016,21/05/2022
https://missing11.com/?game=110,Premier League,2012,Man City,QPR,3-2,Etihad Stadium,,13/5/2012,22/05/2022
https://missing11.com/?game=111,Champions League Final,2007,AC Milan,Liverpool,2-1,Olympiakó Stádio Athinon,,23/5/2007,23/05/2022
https://missing11.com/?game=112,Premier League,2015,Arsenal,WBA,4-1,Emirates Stadium,,24/5/2015,24/05/2022
https://missing11.com/?game=113,Serie A,2015,Roma,Lazio,2-1,Olimpico di Roma,,25/5/2015,25/05/2022
https://missing11.com/?game=114,Champions League Final,1999,Man Utd,Bayern Munich,2-1,Camp Nou,,26/5/1999,26/05/2022
https://missing11.com/?game=115,Champions League Final,2014,Real Madrid,Atletico Madrid,4-1,Estádio da Luz,,24/5/2014,27/05/2022
https://missing11.com/?game=116,Champions League Final,2018,Liverpool,Real Madrid,3-1,NSC Olimpiyskiy,,26/5/2018,28/05/2022
https://missing11.com/?game=117,Champions League,2020,Bayern Munich,PSG,1-0,Estádio da Luz,,23/8/2020,29/05/2022
https://missing11.com/?game=118,Champions League Final,2005,Liverpool,AC Milan,win,Atatürk Olimpiyat Stadyum,,25/5/2005,30/05/2022
https://missing11.com/?game=119,Serie A,2009,Juventus,Lazio,2-0,Stadio Olimpico di Torino,,31/5/2009,31/05/2022
https://missing11.com/?game=120,International Friendlies,2018,Argentina,Italy,2-0,Etihad Stadium,,23/3/2018,01/06/2022
https://missing11.com/?game=121,Euro 2012 Semi Final,2012,Spain,Portugal,win,Donbass Arena,,27/6/2012,02/06/2022
https://missing11.com/?game=122,International Friendlies,2012,Belgium,Netherlands,4-2,Koning Boudewijn Stadion,,15/8/2012,03/06/2022
https://missing11.com/?game=123,International Friendlies,2006,England,Hungary,3-1,Old Trafford,,29/5/2006,04/06/2022
https://missing11.com/?game=124,Nations League Semi Final,2019,Portugal,Switzerland,3-1,Estádio do Dragão,,6/6/2019,05/06/2022
https://missing11.com/?game=125,World Cup 2006,2006,Brazil,Japan,4-1,Signal Iduna Park,,22/6/2006,06/06/2022
https://missing11.com/?game=126,World Cup 2010,2010,Germany,England,4-1,Free State Stadium,,27/6/2010,07/06/2022
https://missing11.com/?game=127,International Friendlies,2008,Netherlands,Wales,2-0,De Kuip,,1/6/2008,08/06/2022
https://missing11.com/?game=128,Euro 2020 Quarter Final,2021,Spain,Switzerland,win,Gazprom Arena,,2/7/2021,09/06/2022
https://missing11.com/?game=129,World Cup 2018,2018,Croatia,Denmark,win,Nischni-Nowgorod-Stadion,,1/7/2018,10/06/2022
https://missing11.com/?game=130,Euro 2012 Quarter Final,2012,Italy,England,2-1,NSK Olimpisky,,24/6/2012,11/06/2022
https://missing11.com/?game=131,Euro 2016,2016,Spain,Czech Republic,1-0,Stadium Municipal,,13/6/2016,12/06/2022
https://missing11.com/?game=132,World Cup 2018 Final,2018,France,Croatia,4-2,Luzhniki Stadium,11,15/7/2018,13/06/2022
https://missing11.com/?game=133,World Cup 2006,2006,Italy,Germany,2-0,Signal Iduna Park,,4/7/2006,14/06/2022
https://missing11.com/?game=134,World Cup 2014,2014,Argentina,Bosnia-Herzegovina,2-1,Estádio Jornalista Mário Filho,,15/6/2014,15/06/2022
https://missing11.com/?game=135,Euro 2016,2016,England,Wales,2-1,Stade Bollaert-Delelis,,16/6/2016,16/06/2022
https://missing11.com/?game=136,Euro 2012,2012,Netherlands,Portugal,2-1,OSK Metalist,,17/6/2012,17/06/2022
https://missing11.com/?game=137,LaLiga,2020,Real Madrid,Valencia,3-0,Alfredo Di Stéfano,,18/6/2020,18/06/2022
https://missing11.com/?game=138,Euro 2016,2016,France,Switzerland,0-0,Stade Pierre-Mauroy,15,19/6/2016,19/06/2022
https://missing11.com/?game=139,World Cup 2010,2010,Brazil,Ivory Coast,3-1,FNB-Stadium,,20/6/2010,20/06/2022
https://missing11.com/?game=140,Serie A,2020,Inter Milan,Sampdoria,2-1,Giuseppe Meazza,,21/6/2020,21/06/2022
https://missing11.com/?game=141,Copa America Semi Final,2016,Argentina,USA,4-0,NRG Stadium,,22/6/2016,22/06/2022
https://missing11.com/?game=142,Serie A,2020,Napoli,Verona,2-0,Marcantonio Bentegodi,,23/6/2020,23/06/2022
https://missing11.com/?game=143,World Cup 2018,2020,England,Panama,6-1,Nischni-Nowgorod-Stadion,,24/6/2020,24/06/2022
